ISO Metric Thread Designation,Pitch,Tolerance Class,Minor Min,Minor Max,Pitch Min,Pitch Max,Major Min,Major Max
M2x0.4,0.4,6H,1.567,1.679,1.74,1.83,2,2.148
M2x0.25,0.25,6H,1.729,1.809,1.838,1.913,2,2.111
M2.5x0.45,0.45,6H,2.013,2.138,2.208,2.303,2.5,2.66
M2.5x0.35,0.35,6H,2.121,2.221,2.273,2.358,2.5,2.636
M3x0.5,0.5,6H,2.459,2.599,2.675,2.775,3,3.172
M4x0.7,0.7,6H,3.242,3.422,3.545,3.663,4,4.219
M4x0.5,0.5,6H,3.459,3.599,3.675,3.775,4,4.172
M5x0.8,0.8,6H,4.134,4.334,4.48,4.605,5,5.24
M5x0.5,0.5,6H,4.459,4.599,4.675,4.775,5,5.172
M6x1,1,6H,4.917,5.153,5.35,5.5,6,6.294
M6x0.8,0.8,6H,5.134,5.334,5.48,5.586,6,6.221
M6x0.75,0.75,6H,5.188,5.378,5.513,5.645,6,6.24
M6x0.7,0.7,6H,5.242,5.422,5.545,5.671,6,6.226
M6x0.5,0.5,6H,5.459,5.599,5.675,5.787,6,6.184
M7x1,1,6H,5.917,6.153,6.35,6.5,7,7.294
M7x0.75,0.75,6H,6.188,6.378,6.513,6.645,7,7.24
M7x0.5,0.5,6H,6.459,6.599,6.675,6.787,7,7.184
M8x1.25,1.25,6H,6.647,6.912,7.188,7.348,8,8.34
M8x1,1,6H,6.917,7.153,7.35,7.5,8,8.294
M8x0.8,0.8,6H,7.134,7.334,7.48,7.62,8,8.255
M8x0.75,0.75,6H,7.188,7.378,7.513,7.645,8,8.24
M8x0.5,0.5,6H,7.459,7.599,7.675,7.787,8,8.184
M9x1.25,1.25,6H,7.647,7.912,8.188,8.348,9,9.34
M9x1,1,6H,7.917,8.153,8.35,8.498,9,9.292
M9x0.75,0.75,6H,8.188,8.378,8.513,8.645,9,9.24
M9x0.5,0.5,6H,8.459,8.599,8.675,8.787,9,9.184
M10x1.5,1.5,6H,8.376,8.676,9.026,9.206,10,10.396
M10x1.25,1.25,6H,8.647,8.912,9.188,9.348,10,10.34
M10x1.12,1.12,6H,8.788,9.038,9.273,9.433,10,10.322
M10x1,1,6H,8.917,9.153,9.35,9.5,10,10.294
M10x0.75,0.75,6H,9.188,9.378,9.513,9.645,10,10.24
M10x0.5,0.5,6H,9.459,9.599,9.675,9.787,10,10.184
M11x1.5,1.5,6H,9.376,9.676,10.026,10.196,11,11.387
M11x1,1,6H,9.917,10.153,10.35,10.5,11,11.294
M11x0.75,0.75,6H,10.188,10.378,10.513,10.645,11,11.24
M11x0.5,0.5,6H,10.459,10.599,10.675,10.787,11,11.184
M12x1.75,1.75,6H,10.106,10.441,10.863,11.063,12,12.453
M12x1.5,1.5,6H,10.376,10.676,11.026,11.216,12,12.406
