Screw Size,"Class Thread",Nominal,Minor Min,Minor Max,Major Min
0-80,2B,0.06,0.0465,0.0514,0.06
1-64,2B,0.073,0.0561,0.0623,0.073
1-72,2B,0.073,0.058,0.0635,0.073
2-56,2B,0.086,0.0667,0.0737,0.086
2-64,2B,0.086,0.0691,0.0753,0.086
3-48,2B,0.099,0.0764,0.0845,0.099
3-56,2B,0.099,0.0797,0.0865,0.099
4-40,2B,0.112,0.0849,0.0939,0.112
4-48,2B,0.112,0.0894,0.0968,0.112
5-40,2B,0.125,0.0979,0.1062,0.125
5-44,2B,0.125,0.1004,0.1079,0.125
6-32,2B,0.138,0.104,0.114,0.138
6-40,2B,0.138,0.111,0.119,0.138
8-32,2B,0.164,0.13,0.139,0.164
8-36,2B,0.164,0.134,0.142,0.164
10-24,2B,0.19,0.145,0.156,0.19
10-32,2B,0.19,0.156,0.164,0.19
1/4-20,2B,0.25,0.196,0.207,0.25
1/4-28,2B,0.25,0.211,0.22,0.25
5/16-18,2B,0.3125,0.252,0.265,0.3125
5/16-24,2B,0.3125,0.267,0.277,0.3125
3/8-16,2B,0.375,0.307,0.321,0.375
3/8-24,2B,0.375,0.33,0.34,0.375
7/16-14,2B,0.4375,0.36,0.376,0.4375
7/16-20,2B,0.4375,0.383,0.395,0.4375
1/2-13,2B,0.5,0.417,0.434,0.5
1/2-20,2B,0.5,0.446,0.457,0.5
9/16-12,2B,0.5625,0.472,0.49,0.5625
9/16-14,2B,0.5625,0.485,0.501,0.5625
9/16-16,2B,0.5625,0.495,0.509,0.5625
9/16-18,2B,0.5625,0.502,0.515,0.5625
9/16-20,2B,0.5625,0.508,0.52,0.5625
9/16-24,2B,0.5625,0.517,0.527,0.5625
9/16-32,2B,0.5625,0.529,0.536,0.5625
5/8-11,2B,0.625,0.527,0.546,0.625
5/8-18,2B,0.625,0.565,0.578,0.625
3/4-10,2B,0.75,0.642,0.663,0.75
3/4-16,2B,0.75,0.682,0.696,0.75
7/8 -9,2B,0.875,0.755,0.778,0.875
7/8-14,2B,0.875,0.798,0.814,0.875
1 -8,2B,1,0.865,0.89,1
1 -12,2B,1,0.91,0.928,1
1 1/8-7,2B,1.125,0.97,0.998,1.125
1 1/8-12,2B,1.125,1.035,1.053,1.125
1 1/4-7,2B,1.25,1.095,1.123,1.25
1 1/4-12,2B,1.25,1.16,1.178,1.25
1 3/8-6,2B,1.375,1.195,1.225,1.375
1 3/8-12,2B,1.375,1.285,1.303,1.375
1 1/2-6,2B,1.5,1.32,1.35,1.5
1 1/2-12,2B,1.5,1.41,1.428,1.5
1 3/4-5,2B,1.75,1.534,1.568,1.75
2 -6,2B,2,1.82,1.85,2
